"created_at","id","text","user.id","user.screen_name","user.location","user.followers_count","user.friends_count","user.created_at","user.time_zone","user.profile_background_color","user.profile_image_url","geo","coordinates","place"
"Wed Apr 13 01:10:33 +0000 2016",720056548932853800,"RT @SoDamnTrue: *sees a dog*\n\nme: holy shit",1081450056,"beccameginley","ibhs",1207,404,"Sat Jan 12 01:29:38 +0000 2013","Eastern Time (US & Canada)","FFFFFF","http://pbs.twimg.com/profile_images/719203430250713088/qGRd2ouG_normal.jpg","null","null","null"
"Wed Apr 13 01:10:33 +0000 2016",720056548643352600,"RT @JakeHunna: Don't wife her unless you've seen her without the dog filter",1138012202,"Roseaohh","heaven",229,190,"Thu Jan 31 21:50:42 +0000 2013","Central Time (US & Canada)","F5ABB5","http://pbs.twimg.com/profile_images/719755259841630208/3wndf83w_normal.jpg","null","null","null"
"Wed Apr 13 01:10:35 +0000 2016",720056556490858500,"RT @JakeHunna: Don't wife her unless you've seen her without the dog filter",758671243,"RamirezTatyanna","null",377,351,"Wed Aug 15 05:43:48 +0000 2012","null","C0DEED","http://pbs.twimg.com/profile_images/718702857403240452/sN9gaAF1_normal.jpg","null","null","null"
"Wed Apr 13 01:10:35 +0000 2016",720056556763615200,"RT @JakeHunna: Don't wife her unless you've seen her without the dog filter",3066601701,"Calvin_Fuchu","null",252,338,"Tue Mar 03 01:30:44 +0000 2015","null","000000","http://pbs.twimg.com/profile_images/717897701065670658/j-Ga7F4l_normal.jpg","null","null","null"
"Wed Apr 13 01:10:35 +0000 2016",720056556881121300,"My sister renamed my dog billy.... #shes9 #gunnagetconfused",458719051,"megantenaglia","New york",618,604,"Sun Jan 08 21:40:21 +0000 2012","null","000000","http://pbs.twimg.com/profile_images/719732706771341313/Pk15TGCm_normal.jpg","null","null","null"
"Wed Apr 13 01:10:36 +0000 2016",720056559095705600,"RT @chelseaperetti: IN HONOR OF NATIONAL PET DAY I WANT TO SEND A SPECIAL SHOUTOUT TO MY DOG ONLY",66816200,"lundstephs","Canada",103,146,"Tue Aug 18 22:01:21 +0000 2009","Quito","CFECEC","http://pbs.twimg.com/profile_images/714185836754022402/sMbMxbH1_normal.jpg","null","null","null"
"Wed Apr 13 01:10:36 +0000 2016",720056558869086200,"RT @dnashaaaa: dog or be dogged.",469772925,"Lust4_Trust","219 to 812 . Braids By Desiree",2181,1656,"Fri Jan 20 23:51:21 +0000 2012","Mountain Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/712941362128240640/WblcIKU1_normal.jpg","null","null","null"
"Wed Apr 13 01:10:36 +0000 2016",720056560051880000,"RT @FreakingTrue: me when a dog dies in a movie https://t.co/QYn4T2x0oC",3266466546,"marianne_811cx","null",153,105,"Thu Jul 02 22:35:49 +0000 2015","Pacific Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/708427475483643904/h2X5EOyC_normal.jpg","null","null","null"
"Wed Apr 13 01:10:36 +0000 2016",720056560739881000,"RT @helnjiang: dog pics r always welcome pls send me some anytime",1375985792,"jewlzkratman","Blacksburg, VA",599,459,"Wed Apr 24 02:33:54 +0000 2013","Eastern Time (US & Canada)","ACDED6","http://pbs.twimg.com/profile_images/719748424279658496/q5BOQ3sW_normal.jpg","null","null","null"
"Wed Apr 13 01:10:37 +0000 2016",720056562270638100,"RT @SippOnOj: when you see your friend hit their dog kinda hard ðŸ˜Ÿ https://t.co/JQweZVg1U0",210241575,"Divine_Ironman","null",263,381,"Sat Oct 30 23:05:02 +0000 2010","Eastern Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/698266371017150464/U941dLvD_normal.jpg","null","null","null"